sample_id,site,time_point,type,core,depth_cm,rep,abs,total_Fe_uM,,,
donor_c0_2cm_T3_away,donor,T3,away,0,2,1,0.101,4.37969,,,
donor_c0_4cm_T3_away,donor,T3,away,0,4,1,0.035,1.48295,,,
donor_c0_6cm_T3_away,donor,T3,away,0,6,1,0.059,2.53631,,,
donor_c0_8cm_T3_away,donor,T3,away,0,8,1,0.035,1.48295,,,
donor_c1_2cm_T3_away,donor,T3,away,1,2,1,,-0.0532,*0.64,,
donor_c1_4cm_T3_away,donor,T3,away,1,4,1,0.302,13.20158,,,
donor_c1_6cm_T3_away,donor,T3,away,1,6,1,0.86,37.6922,,,
donor_c2_2cm_T3_away,donor,T3,away,2,2,1,0.142,6.17918,,,
donor_c2_4cm_T3_away,donor,T3,away,2,4,1,0.033,1.39517,,,
donor_c2_6cm_T3_away,donor,T3,away,2,6,1,0.371,16.22999,,,
high_c17_8cm_T3_away,high,T3,away,17,8,1,0.048,2.05352,,,
high_c17_2cm_T3_away,high,T3,away,17,2,1,0.265,11.57765,,,
high_c17_2cm_T3_away,high,T3,away,17,2,2,,-0.0532,*,,
high_c17_2cm_T3_away,high,T3,away,17,2,3,0.146,6.35474,,,
high_c17_2cm_T3_away,high,T3,away,17,2,4,0.277,12.10433,,,
high_c17_4cm_T3_away,high,T3,away,17,4,1,0.033,1.39517,,,
high_c17_4cm_T3_away,high,T3,away,17,4,2,0.055,2.36075,,,
high_c17_4cm_T3_away,high,T3,away,17,4,3,,-0.0532,*0.047,,
high_c17_6cm_T3_away,high,T3,away,17,6,1,0.069,2.97521,,,
high_c17_6cm_T3_away,high,T3,away,17,6,2,0.06,2.5802,,,
high_c17_6cm_T3_away,high,T3,away,17,6,3,0.061,2.62409,,,
high_c17_8cm_T3_away,high,T3,away,17,8,1,0.042,1.79018,,,
high_c17_8cm_T3_away,high,T3,away,17,8,2,0.048,2.05352,,,
high_c34_2cm_T3_ng,high,T3,ng,34,2,1,0.124,5.38916,,,
high_c34_4cm_T3_ng,high,T3,ng,34,4,1,0.054,2.31686,,,
high_c34_4cm_T3_ng,high,T3,ng,34,4,2,,-0.0532,*0.130,,
high_c34_4cm_T3_ng,high,T3,ng,34,4,3,0.051,2.18519,,,
high_c34_4cm_T3_ng,high,T3,ng,34,4,4,0.053,2.27297,,,
high_c34_6cm_T3_ng,high,T3,ng,34,6,1,0.045,1.92185,,,
high_c34_6cm_T3_ng,high,T3,ng,34,6,2,0.05,2.1413,,,
high_c34_6cm_T3_ng,high,T3,ng,34,6,3,0.043,1.83407,,,
high_c34_8cm_T3_ng,high,T3,ng,34,8,1,0.048,2.05352,,,
high_c34_8cm_T3_ng,high,T3,ng,34,8,2,0.05,2.1413,,,
high_c34_8cm_T3_ng,high,T3,ng,34,8,3,0.05,2.1413,,,
high_c35_2cm_T3_away,high,T3,away,35,2,1,,-0.0532,*,,
high_c35_2cm_T3_away,high,T3,away,35,2,2,,-0.0532,*0.211,,
high_c35_2cm_T3_away,high,T3,away,35,2,3,0.192,8.37368,,,
high_c35_2cm_T3_away,high,T3,away,35,2,4,0.143,6.22307,,,
high_c35_4cm_T3_away,high,T3,away,35,4,1,0.267,11.66543,*0.267,,
high_c35_4cm_T3_away,high,T3,away,35,4,2,0.249,10.87541,,,
high_c35_4cm_T3_away,high,T3,away,35,4,3,0.308,13.46492,,,
high_c35_6cm_T3_away,high,T3,away,35,6,1,0.058,2.49242,,,
high_c35_6cm_T3_away,high,T3,away,35,6,2,0.058,2.49242,,,
high_c35_6cm_T3_away,high,T3,away,35,6,3,0.063,2.71187,,,
high_c35_8cm_T3_away,high,T3,away,35,8,1,0.02,0.8246,,,
high_c35_8cm_T3_away,high,T3,away,35,8,2,0.028,1.17572,,,
high_c35_8cm_T3_away,high,T3,away,35,8,3,0.021,0.86849,,,
high_c36_2cm_T3_g,high,T3,away,36,2,1,0.24,10.4804,,,
high_c36_2cm_T3_g,high,T3,away,36,2,2,0.189,8.24201,,,
high_c36_2cm_T3_g,high,T3,away,36,2,3,0.24,10.4804,,,
high_c36_4cm_T3_g,high,T3,away,36,4,1,0.421,18.42449,,,
high_c36_4cm_T3_g,high,T3,away,36,4,2,0.415,18.16115,,,
high_c36_4cm_T3_g,high,T3,away,36,4,3,0.418,18.29282,,,
high_c36_6cm_T3_g,high,T3,away,36,6,1,0.123,5.34527,,,
high_c36_6cm_T3_g,high,T3,away,36,6,2,0.194,8.46146,,,
high_c36_6cm_T3_g,high,T3,away,36,6,3,0.12,5.2136,,,
high_c36_8cm_T3_g,high,T3,away,36,8,1,0.12,5.2136,,,
high_c36_8cm_T3_g,high,T3,away,36,8,2,0.123,5.34527,,,
high_c36_8cm_T3_g,high,T3,away,36,8,3,0.122,5.30138,,,
high_c43_2cm_T3_ng,high,T3,ng,34,2,1,,-0.0532,*0.194,,*= floaties present reading unreliable
high_c54_2cm_T3_away,high,T3,ng,54,2,1,0.041,1.74629,,,
high_c54_4cm_T3_away,high,T3,ng,54,4,1,0.044,1.87796,,,
high_c54_6cm_T3_away,high,T3,ng,54,6,1,0.029,1.21961,,,
high_c54_8cm_T3_away,high,T3,ng,54,8,1,0.016,0.64904,,,
low_black_2cm_T3_ng,low,T3,ng,black,2,1,2.25,98.6993,x10 already calculated,,
low_black_2cm_T3_ng,low,T3,ng,black,2,2,2.22,97.3826,x10 already calculated,,
low_black_2cm_T3_ng,low,T3,ng,black,2,3,2.17,95.1881,x10 already calculated,,
low_c10_2cm_T3_away,low,T3,away,10,2,1,0.001,-0.00931,,,
low_c10_2cm_T3_away,low,T3,away,10,2,2,0.005,0.16625,,,
low_c10_2cm_T3_away,low,T3,away,10,2,3,0.278,12.14822,,,
low_c10_4cm_T3_away,low,T3,away,10,4,1,1.316,57.70604,,,
low_c10_4cm_T3_away,low,T3,away,10,4,2,1.255,55.02875,,,
low_c10_4cm_T3_away,low,T3,away,10,4,3,1.245,54.58985,,,
low_c10_6cm_T3_away,low,T3,away,10,6,1,3.54,155.3174,x10 already calculated,,
low_c10_6cm_T3_away,low,T3,away,10,6,2,3.45,151.3673,x10 already calculated,,
low_c10_6cm_T3_away,low,T3,away,10,6,3,3.43,150.4895,x10 already calculated,,
low_c14_2cm_T3_ng,low,T3,ng,14,2,1,0.052,2.22908,,,
low_c14_2cm_T3_ng,low,T3,ng,14,2,2,0.067,2.88743,,,
low_c14_2cm_T3_ng,low,T3,ng,14,2,3,0.153,6.66197,,,
low_c14_4cm_T3_ng,low,T3,ng,14,4,1,4.85,212.8133,x10 already calculated,,
low_c14_4cm_T3_ng,low,T3,ng,14,4,2,4.35,190.8683,x10 already calculated,,
low_c14_6cm_T3_ng,low,T3,ng,14,6,1,0.676,29.61644,,,
low_c14_6cm_T3_ng,low,T3,ng,14,6,2,0.651,28.51919,,,
low_c14_6cm_T3_ng,low,T3,ng,14,6,3,0.67,29.3531,,,
low_c17_8cm_T3_away,low,T3,away,17,8,1,0.064,2.75576,,,
low_c18_2cm_T3_g,low,T3,g,18,2,1,0.038,1.61462,,,
low_c18_2cm_T3_g,low,T3,g,18,2,2,0.041,1.74629,,,
low_c18_2cm_T3_g,low,T3,g,18,2,3,0.136,5.91584,,,
low_c18_4cm_T3_g,low,T3,g,18,4,1,0.042,1.79018,,,
low_c18_4cm_T3_g,low,T3,g,18,4,2,0.011,0.42959,,,
low_c18_4cm_T3_g,low,T3,g,18,4,3,0.02,0.8246,,,
low_c18_6cm_T3_g,low,T3,g,18,6,1,0.035,1.48295,,,
low_c18_6cm_T3_g,low,T3,g,18,6,2,0.211,9.20759,,,
low_c18_6cm_T3_g,low,T3,g,18,6,3,0.044,1.87796,,,
low_black_2cm_T3_away,low,T3,away,black,2,1,2.1,92.1158,x10 already calculated,,
low_n_4cm_T3_ng,low,T3,ng,n,4,1,4.44,194.8184,x10 already calculated,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
,,,,,,,,-0.0532,,,
