sample_id,site,time_point,type,core,depth_cm,rep,abs,h2s,,,,
t3_donor_0_2cm_away,donor,T3,away,0,2,1/1,0.01,-5.41218638,,,,
t3_donor_0_4cm_away,donor,T3,away,0,4,1/1,0.008,-5.770609319,,,,
t3_donor_0_6cm_away,donor,T3,away,0,6,1/1,,-7.204301075,,,,
t3_donor_0_8cm_away,donor,T3,away,0,8,1/1,0.009,-5.591397849,,,,
t3_donor_1_2cm_away,donor,T3,away,1,2,1/1,0.01,-5.41218638,,,,
t3_donor_1_4cm_away,donor,T3,away,1,4,1/1,0.012,-5.053763441,,,,
t3_donor_1_6cm_away,donor,T3,away,1,6,1/1,0.013,-4.874551971,,,,
t3_donor_1_8cm_away,donor,T3,away,1,8,1/1,0.008,-5.770609319,,,,
t3_donor_2_2cm_away,donor,T3,away,2,2,1/1,0.014,-4.695340502,,,,
t3_donor_2_4cm_away,donor,T3,away,2,4,1/1,0.011,-5.23297491,,,,
t3_donor_2_6cm_away,donor,T3,away,2,6,1/1,0.011,-5.23297491,,,,
t3_low_10_4cm_away_r1,low,T3,away,10,4,1/3,0.011,-5.23297491,,,,
t3_low_10_4cm_away_r2,low,T3,away,10,4,2/3,0.01,-5.41218638,,,,
t3_low_10_4cm_away_r3,low,T3,away,10,4,3/3,0.011,-5.23297491,,,,
t3_low_10_6cm_away_r1,low,T3,away,10,6,1/3,0.012,-5.053763441,,,,
t3_low_10_6cm_away_r2,low,T3,away,10,6,2/3,0.012,-5.053763441,,,,
t3_low_10_6cm_away_r3,low,T3,away,10,6,3/3,0.014,-4.695340502,labeled ng before but srtrongly believe it was wrongly labeled and apart of away set,,,
t3_low_18_2cm_g_r1,low,T3,g,18,2,1/3,0.014,-4.695340502,,,,
t3_low_18_2cm_g_r2,low,T3,g,18,2,2/3,0.013,-4.874551971,,,,
t3_low_18_2cm_g_r3,low,T3,g,18,2,3/3,0.012,-5.053763441,,,,
t3_low_18_4cm_g_r1,low,T3,g,18,4,1/3,0.012,-5.053763441,,,,
t3_low_18_4cm_g_r2,low,T3,g,18,4,2/3,0.013,-4.874551971,,,,
t3_low_18_4cm_g_r3,low,T3,g,18,4,3/3,0.012,-5.053763441,,,,
t3_low_18_6cm_g_r1,low,T3,g,18,6,1/3,0.013,-4.874551971,,,,
t3_low_18_6cm_g_r2,low,T3,g,18,6,2/3,0.012,-5.053763441,,,,
t3_low_18_6cm_g_r3,low,T3,g,18,6,3/3,0.01,-5.41218638,,,,
t3_low_14_2cm_ng_r1,low,T3,ng,14,2,1/3,0.014,-4.695340502,,,,
