id,t0_balde_num,g_ng,date_marked,t0_notes,date_collected,shoot_bag_weight,shoot_plus_bag_weight,rhizome_bag_weight,rhizome_plus_bag_weight,rhizome_weight,shoot_weight,length,duration,sheath_length,shoot_width,blade_number_tx,gfc_weight,gfc_weight_plus_sample,epi_weight,total_liquid,site,collection_point,tx_notes,ref_legth,b1_full,b1_new,b1_old,b2_full,b2_new,b2_old,b3_full,b3_new,b3_old,b4_full,b4_new,b4_old,b5_full,b5_new,b5_old,b6_full,b6_new,b6_old,b7_full,b7_new,b7_old,b8_full,b8_new,b9_old,b9_full,b9_new,b9_old,b10_full,b10_new,b10_old,baby_1,baby_2,notes,extention,original_length_Remaining,rgr_perday
51,6,ng,6-June-25,,12-June-25,,,,,0,0,,6,4.5,0.5,8,,,0,,donor,t1,,7,10.3,1,9.3,7.2,0.6,6.6,23.8,0,23.8,23.5,0,23.5,24.5,0,24.5,9.9,0,9.9,50,0,50,24.6,1,23.6,,,0,,,0,,,,2.6,178.2,0.0962962963
55,4,ng,6-June-25,,12-June-25,,,,,0,0,,6,17.4,0.4,4,,,0,,donor,t1,,2.7,12.2,0,12.2,23.5,0,23.5,28.2,0,28.2,26.7,0,26.7,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,93.3,0
88,7,ng,6-June-25,,12-June-25,,,,,0,0,,6,,,0,,,0,,donor,t1,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,too rangled/ no shoot,0,0,#DIV/0!
175,4,ng,6-June-25,,12-June-25,,,,,0,0,,6,17,0.4,5,,,0,,donor,t1,,5.4,85.4,0,85.4,59.4,3,56.4,109.8,2.6,107.2,142,0.2,141.8,16.3,0,16.3,,,0,,,0,,,0,,,0,,,0,,,,5.8,412.5,0.0568627451
214,6,g,6-June-25,,12-June-25,,,,,0,0,,6,3.8,0.3,4,,,0,,donor,t1,,8.5,13.5,1.1,12.4,34.6,0,34.6,6.1,0,6.1,7.5,0,7.5,,,0,,,0,,,0,,,0,,,0,,,0,,,,1.1,69.1,0.04824561404
234,4,g,6-June-25,,12-June-25,,,,,0,0,,6,6.7,0.4,0,,,0,,donor,t1,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,too rangled for measurment ,0,0,0
240,6,ng,6-June-25,,12-June-25,,,,,0,0,,6,2.2,0.4,0,,,0,,donor,t1,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,0,0
357,5,ng,6-June-25,,12-June-25,,,,,0,0,,6,18.3,0.4,5,,,0,,donor,t1,,11.4,26.6,0,26.6,81.6,0,81.6,25.5,0,25.5,26.6,0,26.6,16.1,0,16.1,,,0,,,0,,,0,,,0,,,0,,,,0,187.8,0
373,7,g,6-June-25,,12-June-25,,,,,0,0,,6,15.3,0.4,5,,,0,,donor,t1,,4.9,57.2,1.8,55.4,27.2,1.2,26,22.4,0.7,21.7,13.3,0,13.3,17.4,0,17.4,,,0,,,0,,,0,,,0,,,0,,,,3.7,138.7,0.04030501089
387,4,g,6-June-25,,12-June-25,,,,,0,0,,6,12.4,0.4,4,,,0,,donor,t1,,4.2,13,0,13,13,0,13,21,0,21,13,0,13,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,64.2,0
390,4,ng,6-June-25,,12-June-25,,,,,0,0,,6,11.1,0.5,4,,,0,,donor,t1,,7,25.6,0,25.6,21.3,0,21.3,57,3.7,53.3,110.2,0,110.2,,,0,,,0,,,0,,,0,,,0,,,0,,,,3.7,217.4,0.05555555556
70,7,ng,6-June-25,,20-June-25,,,,,0,0,,14,16.4,0.4,6,,,0,,donor,t2,,2.4,6.8,4,2.8,14,3.2,10.8,17.4,3.8,13.6,47.2,5.8,41.4,37.4,6.8,30.6,34.8,9.2,25.6,,,0,,,0,,,0,,,0,,,,32.8,127.2,0.1428571429
103,5,ng,6-June-25,,20-June-25,,,,,0,0,,14,20.5,0.4,3,,,0,,donor,t2,,6.9,41.8,20,21.8,21.5,19.6,1.9,38.4,19.9,18.5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,59.5,49.1,0.2073170732
122,6,ng,6-June-25,,20-June-25,,,,,0,0,,14,14.8,0.4,5,,,0,,donor,t2,,5.5,60.2,0,60.2,44.5,0,44.5,38.2,0.4,37.8,17,6.8,10.2,52.8,8.4,44.4,,,0,,,0,,,0,,,0,,,0,,,,15.6,202.6,0.07528957529
135,6,g,6-June-25,,20-June-25,,,,,0,0,,14,22.5,0.4,6,,,0,,donor,t2,,3.9,32.5,26.4,6.1,56.2,,56.2,60.5,50,10.5,6.6,,6.6,65,50.2,14.8,,,0,,,0,,,0,,,0,,,0,6.5,,,133.1,98.1,0.4225396825
146,7,ng,6-June-25,,20-June-25,,,,,0,0,,14,,,0,,,0,,donor,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,no shoot,0,0,#DIV/0!
156,6,g,6-June-25,,20-June-25,,,,,0,0,,14,23.3,0.6,7,,,0,,donor,t2,,4,40.1,0,40.1,49.2,9.8,39.4,114.2,14.1,100.1,52.8,4.2,48.6,122,,122,95.4,,95.4,106.3,,106.3,,,0,,,0,,,0,,,,28.1,555.9,0.08614347026
157,6,g,6-June-25,,20-June-25,,,,,0,0,,14,12.2,0.5,5,,,0,,donor,t2,,4.4,70.6,7.6,63,49,0,49,11,4.4,6.6,54,2,52,33.4,2.2,31.2,,,0,,,0,,,0,,,0,,,0,,,,16.2,206.2,0.09484777518
187,5,g,6-June-25,,20-June-25,,,,,0,0,,14,,,0,,,0,,donor,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,shoot dead,0,0,#DIV/0!
219,6,g,6-June-25,,20-June-25,,,,,0,0,,14,2.8,0.3,0,,,0,,donor,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,broken/ no pinprick,0,0,0
236,6,ng,6-June-25,,20-June-25,,,,,0,0,,14,14.2,0.4,8,,,0,,donor,t2,,2,8.9,3,5.9,11.7,4.6,7.1,19,5,14,36,7,29,11.4,9.4,2,29.2,10.8,18.4,27.4,5,22.4,,,0,,,0,,,0,4.4,,,49.2,100.8,0.2474849095
269,6,ng,6-June-25,,20-June-25,,,,,0,0,,14,13.2,0.4,6,,,0,,donor,t2,,5.2,5,4,1,11,7,4,10,3.2,6.8,14.8,10.2,4.6,59,5.8,53.2,38,25.2,12.8,,,0,,,0,,,0,,,0,,,,55.4,87.6,0.2997835498
307,6,ng,6-June-25,,20-June-25,,,,,0,0,,14,,,0,,,0,,donor,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,not measurable,0,0,#DIV/0!
348,6,g,6-June-25,,20-June-25,,,,,0,0,,14,na,0.5,0,,,0,,donor,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,too rotten,0,0,#VALUE!
371,5,ng,6-June-25,,20-June-25,,,,,0,0,,14,15.4,0.4,5,,,0,,donor,t2,,4.2,64.4,0.4,64,41.4,0.2,41.2,60,5.6,54.4,32.4,6.8,25.6,30,4,26,,,0,,,0,,,0,,,0,,,0,,,,17,215.4,0.07884972171
396,6,g,6-June-25,,20-June-25,,,,,0,0,,14,,,0,,,0,,donor,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,shoot shreddered,0,0,#DIV/0!
19,5,ng,7-June-25,,13-June-25,,,,,0,0,,6,19.2,0.3,6,,,0,,high,t1,,9.6,60.2,0,60.2,25.4,0,25.4,60.6,0,60.6,42,0,42,43,0,43,32.8,1.1,31.7,,,0,,,0,,,0,,,0,,,,1.1,272.5,0.009548611111
34,5,g,7-June-25,,13-June-25,,,,,0,0,,6,7.1,0.4,9,,,0,,high,t1,,3,8.5,1.9,6.6,8.6,0,8.6,31.5,0.1,31.4,33.2,0,33.2,39.4,0,39.4,37.9,0,37.9,87.7,0,87.7,23.5,1.2,22.3,33.9,1.7,32.2,,,0,,,,4.9,302.3,0.1150234742
49,5,ng,7-June-25,,13-June-25,,,,,0,0,,6,15.4,0.2,0,,,0,,high,t1,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,to ranglewd too measure,0,0,0
64,6,g,7-June-25,,13-June-25,,,,,0,0,,6,11.2,0.4,6,,,0,,high,t1,,3.1,46,0,46,33.8,47.2,-13.4,2,0,2,36,7,29,36.2,8.8,27.4,28,0,28,,,0,,,0,,,0,,,0,,,,63,122.1,0.9375
66,4,ng,7-June-25,,13-June-25,,,,,0,0,,6,18.4,0.4,5,,,0,,high,t1,,3.6,47.3,0,47.3,40,0,40,68.4,2.9,65.5,50.1,1,49.1,93.6,0,93.6,,,0,,,0,,,0,,,0,,,0,,,,3.9,299.1,0.03532608696
79,6,g,7-June-25,,13-June-25,,,,,0,0,,6,7.2,0.4,3,,,0,,high,t1,,1.7,13.5,0,13.5,8.7,0,8.7,37.8,0,37.8,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,61.7,0
86,6,g,7-June-25,,13-June-25,,,,,0,0,,6,15.6,0.4,8,,,0,,high,t1,,6.2,15.8,2.9,12.9,85.4,0,85.4,20.6,0,20.6,39.5,0,39.5,39.5,7.9,31.6,76.6,0,76.6,46.8,7.9,38.9,46.1,8,38.1,,,0,,,0,,,,26.7,349.8,0.2852564103
101,5,g,7-June-25,,13-June-25,,,,,0,0,,6,30.2,0.6,8,,,0,,high,t1,,3.9,75,0,75,76.8,0,76.8,3.4,0,3.4,76.4,0,76.4,10.6,4.2,6.4,45.1,6,39.1,46,6.4,39.6,64.6,1.2,63.4,,,0,,,0,,,,17.8,384,0.09823399558
105,6,g,7-June-25,,13-June-25,,,,,0,0,,6,25.4,0.4,7,,,0,,high,t1,,5.2,37.4,0,37.4,44.4,0,44.4,47.2,0,47.2,29,5,24,48.1,2.8,45.3,64.2,0.1,64.1,,,0,,,0,,,0,,,0,0.7,,,8.6,267.6,0.05643044619
126,3,g,7-June-25,,13-June-25,,,,,0,0,,6,11.4,0.3,2,,,0,,high,t1,,6.4,19.6,0,19.6,23.3,0,23.3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,49.3,0
137,6,ng,7-June-25,,13-June-25,,,,,0,0,,6,17.7,0.4,7,,,0,,high,t1,,3.6,39,0.7,38.3,34.2,0,34.2,46.1,0.9,45.2,44.7,3.8,40.9,35.3,2,33.3,50.6,5.9,44.7,4.9,1.5,3.4,,,0,,,0,,,0,,,,14.8,243.6,0.1393596987
165,6,g,7-June-25,,13-June-25,,,,,0,0,,6,17.7,0.4,6,,,0,,high,t1,,7.2,26.7,0,26.7,19,0,19,26.8,0,26.8,48.2,2.4,45.8,3.6,0,3.6,50.6,0,50.6,,,0,,,0,,,0,,,0,,,,2.4,179.7,0.02259887006
166,5,ng,7-June-25,,13-June-25,,,,,0,0,,6,17.5,0.3,7,,,0,,high,t1,,3.1,53.9,0,53.9,50.7,0,50.7,23.9,0.5,23.4,36.6,0.9,35.7,40.7,3.1,37.6,6.8,0.2,6.6,10,3.1,6.9,,,0,,,0,,,0,,,,7.8,217.9,0.07428571429
178,5,g,7-June-25,,13-June-25,,,,,0,0,,6,19.4,0.4,7,,,0,,high,t1,,3.4,34.5,0,34.5,26.3,0,26.3,30.4,0,30.4,54.5,0,54.5,40,0.1,39.9,51.4,0.1,51.3,59,0.7,58.3,,,0,,,0,,,0,,,,0.9,298.6,0.007731958763
181,6,ng,7-June-25,,13-June-25,,,,,0,0,,6,15.9,0.3,5,,,0,,high,t1,,2.8,36.5,0,36.5,37.2,0.5,36.7,25.9,1.6,24.3,44.2,7.6,36.6,38.7,6.1,32.6,,,0,,,0,,,0,,,0,,,0,,,,15.8,169.5,0.1656184486
197,5,g,7-June-25,,13-June-25,,,,,0,0,,6,18.6,0.4,5,,,0,,high,t1,,5.6,48.4,0,48.4,43.4,0.3,43.1,63.8,9.6,54.2,34.6,10.6,24,58.8,4.8,54,,,0,,,0,,,0,,,0,,,0,,,,25.3,229.3,0.226702509
199,6,g,7-June-25,,13-June-25,,,,,0,0,,6,17.1,0.4,2,,,0,,high,t1,,6.2,49.4,0,49.4,58.2,0,58.2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,113.8,0
341,6,g,7-June-25,,13-June-25,,,,,0,0,,6,2.8,0.3,7,,,0,,high,t1,,3,43.6,0,43.6,28.2,0,28.2,76.2,0,76.2,84.7,0.1,84.6,60.1,2.2,57.9,83.3,9.7,73.6,40.5,2.4,38.1,,,0,,,0,,,0,,,,14.4,405.2,0.8571428571
358,5,ng,7-June-25,,13-June-25,,,,,0,0,,6,7.1,0.4,8,,,0,,high,t1,,5.3,23,0,23,17.9,1.4,16.5,27.8,1.1,26.7,28.1,0,28.1,28,0.5,27.5,28.4,3.3,25.1,20.2,0,20.2,19.6,0,19.6,,,0,,,0,,,,6.3,192,0.1478873239
364,3,g,7-June-25,,13-June-25,,,,,0,0,,6,12.2,0.2,4,,,0,,high,t1,,3.7,30.6,0,30.6,16.7,0,16.7,27,1.9,25.1,17.9,0,17.9,,,0,,,0,,,0,,,0,,,0,,,0,,,,1.9,94,0.02595628415
23,4,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,no shoot,0,0,#DIV/0!
28,4,g,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,wrangled,0,0,#DIV/0!
39,4,g,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,dead/ mangled,0,0,#DIV/0!
67,4,g,7-June-25,,21-June-25,,,,,0,0,,14,21.2,0.4,5,,,0,,high,t2,,2.8,36.8,2.3,34.5,57.3,0.9,56.4,51.2,10.1,41.1,61.4,8.2,53.2,10.1,7.6,2.5,,,0,,,0,,,0,,,0,,,0,,,,29.1,190.5,0.0980458221
68,6,ng,7-June-25,,21-June-25,,,,,0,0,,14,24.1,0.4,4,,,0,,high,t2,,2.9,115.2,3.1,112.1,38.1,0.6,37.5,82.9,7.3,75.6,35.7,,35.7,,,0,,,0,,,0,,,0,,,0,,,0,,,,11,263.8,0.03260225252
69,6,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,just root,0,0,#DIV/0!
