site,timepoint,bagid,plant id,treatment,g
low,3,6,409,g,29.9
low,3,81,115,g,30.196
low,3,79,,g,31.541
low,3,80,311,g,30.476
low,3,77,397,g,31.303
high,2,68,381,g,28.732
low,3,73,209,g,30.886
high,2,66,141,g,28.672
low,3,70,,g,30.218
high,2,78,245,g,28.946
low,3,1,231,g,29.345
low,3,2,,g,30.469
low,3,11,386,g,28.963
low,3,14,210,g,30.472
low,3,117,15,ng,29.792
high,3,85,,ng,25.185
high,3,85,,ng,24.493
high,3,85,,ng,26.597
high,3,85,,ng,25.87
low,3,9,266,ng,27.263
low,3,101,,ng,24.095
low,3,69,285,ng,31.211
low,3,76,316,ng,33.408
low,3,74,326,ng,29.097
low,3,67,284,ng,32.632
high,3,89,213,ng,28.99
low,3,8,407,ng,30.049
high,3,104,89,ng,29.36
high,3,111,109,ng,31.942
low,3,4,405,ng,30.985
high,3,108,201,ng,27.341
high,3,87,62,ng,30.969
high,3,102,58,ng,28.109
high,3,106,246,ng,28.581
high,3,94,211,ng,29.462
high,3,105,302,ng,29.657
high,3,97,72,ng,30.619
low,3,65,171,ng,28.891
low,3,3,104,ng,30.164
high,3,111,304,ng,30.92
low,3,5,179,ng,29.203
low,3,7,80,ng,28.565
low,3,10,163,ng,29.683
